Timestamp (ms),Gap Error (m)
1726249095494,1.1683813989297094
1726249095514,1.1460087773614074
1726249095528,1.2014281570026992
1726249095544,1.1725355122769723
1726249095560,1.200307899311782
1726249095584,1.154737414666712
1726249095605,1.2103978468441197
1726249095621,1.1706964513591909
1726249095636,1.1933148508925555
1726249095654,1.1554595971357915
1726249095668,1.1831788254555051
1726249095684,1.159289944131626
1726249095702,1.2146540291890533
1726249095725,1.1622446686570687
1726249095738,1.197232487296076
1726249095757,1.1727393639526205
1726249095772,1.2283882262930148
1726249095786,1.203822141265134
1726249095802,1.2316119582103968
1726249095819,1.1764007028407502
1726249095844,1.2307007398099463
1726249095860,1.2056985926808355
1726249095876,1.23346686711408
1726249095894,1.1830601444582118
1726249095908,1.2208481496849735
1726249095928,1.189730649027783
1726249095945,1.2369522225954772
1726249095971,1.1856614571242376
1726249095986,1.2134446363377753
1726249096003,1.187680990370016
1726249096021,1.243251427235886
1726249096039,1.2131386447359986
1726249096058,1.2408567432041036
1726249096077,1.188792350139415
1726249096107,1.244173145748817
1726249096124,1.2149316751707384
1726249096139,1.2373870945768477
1726249096157,1.1850131627750065
1726249096175,1.2125836966235148
1726249096198,1.186348176409291
1726249096219,1.2474580698060103
1726249096251,1.1898215055223917
1726249096264,1.2174283829256884
1726249096288,1.1910514038755253
1726249096304,1.2462106150629575
1726249096320,1.2074327862348082
1726249096341,1.2217619611042854
1726249096364,1.1768416785577194
1726249096387,1.2311294118274456
1726249096403,1.2047836465483046
1726249096420,1.2449176393094041
1726249096438,1.1890930548642769
1726249096451,1.2165825942457196
1726249096470,1.190233190101884
1726249096485,1.245233467829181
1726249096511,1.1927089941487017
1726249096525,1.2190101933763255
1726249096544,1.1957574555463846
1726249096561,1.2506109679787554
1726249096577,1.2246159213027523
1726249096593,1.2519752551591932
1726249096613,1.2001376316633041
1726249096635,1.254731594228835
1726249096650,1.2196722245503948
1726249096665,1.2470683108962106
1726249096684,1.1953519531577168
1726249096701,1.2228322064655308
1726249096720,1.1935115045273679
1726249096740,1.2491384206275011
1726249096766,1.1978724773489846
